LATENCIES1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0;;;;254;;;252;252;254;256;258;256;432;254;254;252;252;256;256;260;256;346;354;252;254;252;252;258;260;312;;204;348;254;254;256;258;316;314;316;378;352;58;250;250;316;316;316;318;;;322;318;316;316;318;;318;316
2;;444;;444;442;600;442;442;446;442;444;444;442;440;572;448;446;444;446;446;446;442;350;538;454;448;446;334;334;378;328;432;452;454;452;322;314;314;318;324;416;394;454;324;390;394;314;318;324;330;;276;386;388;312;310;652;264;388;310
3;;606;;;610;256;260;;256;264;-22;;610;612;;;262;260;264;262;320;230;230;;310;;;136;318;318;320;232;314;310;314;314;316;316;316;316;314;310;314;314;316;318;316;316;312;314;312;312;314;314;314;314;310;310;314;312
4;;;;;456;;;;;;;456;454;452;;;;348;350;272;272;276;280;;;260;268;274;272;270;274;452;;52;264;270;270;270;342;338;434;52;330;264;276;272;346;342;340;334;412;334;334;350;344;342;418;332;414;342
5;;268;;270;344;270;342;264;266;264;344;342;346;342;270;268;264;264;264;262;338;342;340;332;334;338;338;262;260;332;332;318;328;330;334;336;260;258;256;330;386;404;326;330;332;258;256;332;328;376;304;328;326;330;330;328;368;326;326;328
6;;374;;374;400;370;372;372;374;374;374;402;414;412;100;366;370;370;372;370;400;400;422;70;370;370;370;366;368;400;418;440;480;478;368;366;366;364;420;422;424;444;446;450;362;362;322;324;424;428;442;442;444;316;316;318;420;440;316;314
7;;444;;446;450;418;448;446;444;440;440;442;436;436;450;448;446;444;318;440;442;438;410;486;410;408;332;334;332;336;438;408;518;406;408;334;336;332;314;310;394;534;522;338;338;336;328;306;318;378;538;332;332;330;328;306;;538;330;330
8;;466;;470;462;470;468;470;378;378;380;378;420;422;468;470;470;380;380;382;380;416;416;446;454;396;396;398;402;406;418;412;448;396;398;400;400;398;402;404;418;400;400;400;398;396;398;396;400;402;534;396;398;396;398;396;400;394;394;398
9;292;292;290;294;292;294;290;294;290;290;290;290;292;292;288;294;292;290;288;288;290;288;514;456;418;382;386;388;386;390;408;430;458;342;372;390;392;400;394;394;410;342;344;340;342;400;394;386;388;382;348;344;344;346;392;364;348;344;346;364
10;140;;280;106;282;-32;102;100;100;;286;284;286;278;;132;102;98;;378;370;376;278;;348;96;98;96;338;372;370;368;346;346;346;348;94;330;334;332;370;342;338;342;330;88;324;328;330;332;332;330;328;326;326;326;326;332;328;326
11;458;460;446;444;426;458;444;440;426;426;410;422;420;428;442;444;-60;-56;160;358;424;426;440;;;-58;;;344;338;430;436;420;;;;-56;340;334;334;334;;;;354;340;338;336;336;336;368;;360;340;338;336;336;362;360;338
12;642;640;644;644;-10;;;646;646;-12;;-10;-22;;644;458;648;;;;;;;480;462;396;;;380;322;322;422;354;350;352;346;;318;312;310;322;358;356;314;316;320;308;304;302;304;;308;306;306;302;302;302;306;306;304
13;436;436;438;408;402;408;406;402;400;398;396;400;398;402;408;400;398;398;400;394;398;398;394;328;332;340;340;340;340;;346;366;330;334;340;340;346;342;342;344;350;338;340;342;340;346;346;348;348;346;332;342;340;344;348;344;346;342;346;348
14;290;290;290;292;288;294;294;294;290;288;288;290;290;290;-16;356;296;294;;58;322;324;344;340;316;322;322;324;;;326;112;428;322;322;324;326;324;326;324;326;324;324;324;324;326;326;326;324;324;;324;324;326;326;326;326;324;326;326
15;274;272;276;272;278;272;272;272;274;272;278;278;278;278;268;190;272;272;276;276;194;194;-78;428;428;192;348;338;;;194;282;424;494;346;346;346;338;336;326;324;338;336;336;340;340;338;338;336;336;338;338;340;340;340;340;338;340;340;340
LATENCIES2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;502;500;;502;500;536;504;504;504;500;498;500;502;;508;508;508;504;504;500;496;502;;532;506;510;506;506;504;498;500;;516;534;506;506;504;498;498;498;;430;534;530;454;508;500;460;458;264;;440;442;456;458;468;0;438;456;0
2;668;664;;672;686;;;678;676;682;688;686;686;;280;;750;726;726;686;690;688;664;;;730;726;726;722;714;710;708;252;770;726;720;718;714;714;708;710;250;250;612;708;712;712;712;710;716;;624;256;792;798;;262;724;256;246
3;;416;;450;422;452;452;454;452;450;452;422;422;392;444;450;450;426;424;426;420;414;452;498;452;444;436;438;436;450;452;272;496;496;484;442;442;444;480;266;264;494;490;482;482;484;476;480;262;262;246;478;476;478;476;478;260;234;476;478
4;;392;;548;538;396;550;552;552;550;548;538;538;660;396;638;772;544;544;544;548;662;660;634;636;642;746;538;542;544;660;662;610;602;604;744;748;748;584;582;;602;596;592;594;746;752;590;;;280;594;744;;594;;252;596;;
5;;542;;540;604;540;598;594;596;592;674;670;660;;674;680;676;676;676;676;676;672;638;670;678;678;676;676;674;676;646;614;770;682;678;674;672;668;648;640;276;778;270;672;668;664;486;484;280;272;270;272;272;482;484;280;272;268;480;484
6;;582;;574;560;;562;560;572;558;578;558;556;728;688;574;574;556;558;556;558;556;634;686;576;564;556;556;556;556;572;634;692;580;576;556;556;552;554;558;570;580;580;574;574;572;556;556;568;572;276;574;576;572;574;574;;574;574;574
7;;542;;544;690;740;722;694;688;694;694;694;696;716;756;750;696;690;696;696;692;736;;794;766;764;684;682;738;740;742;;798;770;768;742;684;684;244;244;590;272;276;240;680;680;240;244;246;246;268;244;238;242;242;242;440;266;246;244
8;;604;;;606;;;;604;608;610;608;606;608;;;;604;600;606;644;644;642;166;80;78;596;598;724;724;722;724;170;176;78;82;84;724;720;720;728;;72;74;90;82;720;722;720;782;;;;;;;;;;
9;;;;;662;;576;572;572;594;664;664;664;;;;570;572;596;596;666;668;668;22;652;574;584;588;590;628;630;688;282;284;594;592;642;636;630;626;624;286;286;284;284;640;548;288;290;292;288;284;286;284;544;282;292;286;284;284
10;-92;-94;;-100;558;-100;;-100;566;566;564;562;566;;-96;-98;-98;564;560;564;564;564;558;;-94;738;598;564;568;564;580;578;454;596;596;594;590;588;586;564;582;272;272;272;594;592;278;278;278;582;272;274;274;278;280;280;282;274;276;280
11;750;746;748;550;748;;554;548;546;546;548;550;746;744;570;568;550;546;550;564;568;568;562;648;572;570;570;574;576;574;576;602;636;574;574;574;574;578;582;598;596;570;572;568;578;588;588;586;590;594;452;588;588;590;594;592;282;588;594;596
12;;42;42;302;522;;302;304;528;524;524;524;524;520;304;304;-64;528;532;526;546;694;610;40;778;792;536;544;546;550;556;582;702;542;536;542;546;548;548;552;558;544;540;538;536;548;550;550;552;262;;538;540;550;548;554;264;546;548;550
13;754;752;750;286;288;286;286;288;286;290;288;288;286;288;290;288;286;;;290;290;290;;288;286;286;;;;;436;;568;284;;;;;;444;434;;288;288;290;;;;246;246;250;290;292;288;;;442;290;;
14;410;400;398;402;706;672;672;674;706;524;702;706;704;422;672;672;672;706;706;706;706;710;428;666;678;678;706;708;;;726;700;756;662;710;706;704;706;704;794;798;286;286;288;288;292;292;290;292;290;;288;290;292;292;292;288;288;292;292
